0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,Dash
9502,14498,17538,34322,74011,46,4,9,11,0,0,0,1,2,20,5280,5185,9390,9809,13956,no
9310,16232,18012,34285,71027,17,8,5,12,1,0,1,1,3,402,7337,3589,12091,11060,13547,no
12819,14082,28856,18410,64548,4,2,4,12,0,2,1,3,0,1,3018,5214,22907,9927,13346,yes
7573,15486,17241,35345,75614,291,4,8,12,3,1,0,1,1,147,5890,4715,9916,10740,13935,yes
1383,15159,16531,37660,34431,44164,0,14,17,0,0,0,0,0,32,5629,5529,6639,13550,14212,no
3110,17552,16911,34502,49107,28286,0,9,10,0,0,0,0,0,46,1392,5091,6169,13096,15952,yes
